Name,Type,Category,Power,Accuracy,PP,Short-Effect,Full-Effect
Never-Ending Nightmare,Ghost,None,—,—,1,Ghost type Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Night Daze,Dark,Special,85,95,10,May lower opponent's Accuracy.,The user looses a pitch-black shock wave at the target to inflict damage. This may also lower the target’s accuracy.
Night Shade,Ghost,Special,—,100,15,Inflicts damage equal to user's level.,The user makes the target see a frightening mirage. It inflicts damage equal to the user’s level.
Night Slash,Dark,Physical,70,100,15,High critical hit ratio.,The user slashes the target the instant an opportunity arises. This move has a heightened chance of landing a critical hit.
Nightmare,Ghost,Status,—,100,15,The sleeping opponent loses 25% of its max HP each turn.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
No Retreat,Fighting,Status,—,—,5,Raises all stats but user cannot switch out.,This move boosts all the user’s stats but prevents the user from switching out or fleeing.
Noble Roar,Normal,Status,—,100,30,Lowers opponent's Attack and Special Attack.,"Letting out a noble roar, the user intimidates the target and lowers the target’s Attack and Sp. Atk stats."
Noxious Torque,Poison,Physical,100,100,10,May poison the opponent.,Noxious Torque deals damage and has a 30% chance of poisoning the target.
Nuzzle,Electric,Physical,20,100,20,Paralyzes opponent.,The user attacks by nuzzling its electrified cheeks against the target. This also leaves the target with paralysis.
Oblivion Wing,Flying,Special,80,100,10,User recovers most of the HP inflicted on opponent.,The user absorbs the target’s HP. The user’s HP is restored by over half the damage taken by the target.
Obstruct,Dark,Status,—,100,10,Protects the user and sharply lowers Defence on contact.,This move enables the user to protect itself from all attacks. Its chance of failing rises if used in succession. Direct contact harshly lowers the attacker’s Defense stat.
Oceanic Operetta,Water,Special,195,—,1,Primarina-exclusive Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Octazooka,Water,Special,65,85,10,May lower opponent's Accuracy.,The user attacks by spraying ink in the target’s face. This may also lower the target’s accuracy.
Octolock,Fighting,Status,—,100,15,"Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out.",The user locks the target in and prevents it from fleeing. This move also lowers the target’s Defense and Sp. Def every turn.
Odor Sleuth,Normal,Status,—,—,40,"Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Ominous Wind,Ghost,Special,60,100,5,May raise all user's stats at once.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Order Up,Dragon,Physical,80,100,10,Boosts Attack/Defense/Speed depending on ally Tatsugiri.,"The user attacks with elegant poise. If the user has a Tatsugiri in its mouth, this move boosts one of the user’s stats based on the Tatsugiri’s form."
Origin Pulse,Water,Special,110,85,10,Hits all adjacent opponents.,The user attacks opposing Pokémon with countless beams of light that glow a deep and brilliant blue.
Outrage,Dragon,Physical,120,100,10,User attacks for 2-3 turns but then becomes confused.,The user rampages and attacks for two to three turns. The user then becomes confused.
Overdrive,Electric,Special,80,100,10,Hits all adjacent opponents.,"The user attacks opposing Pokémon by twanging a guitar or bass guitar, causing a huge echo and strong vibration."
Overheat,Fire,Special,130,90,5,Sharply lowers user's Special Attack.,The user attacks the target with all its might. The recoil from this move harshly lowers the user’s Sp. Atk stat.
Pain Split,Normal,Status,—,—,20,The user's and opponent's HP becomes the average of both.,"The user adds its HP to the target’s HP, then equally splits the combined HP between the target and itself."
Parabolic Charge,Electric,Special,65,100,20,User recovers half the HP inflicted on opponent.,The user attacks everything around it. The user’s HP is restored by half the damage taken by those hit.
Parting Shot,Dark,Status,—,100,20,Lowers opponent's Attack and Special Attack then switches out.,"With a parting threat, the user lowers the target’s Attack and Sp. Atk stats. Then it switches places with a party Pokémon in waiting."
Pay Day,Normal,Physical,40,100,20,Money is earned after the battle.,Coins are hurled at the target to inflict damage. Money is earned after the battle.
Payback,Dark,Physical,50,100,10,Power doubles if the user was attacked first.,"The user stores power, then attacks. This move’s power is doubled if the user moves after the target."
Peck,Flying,Physical,35,100,35,,The target is jabbed with a sharply pointed beak or horn to inflict damage.
Perish Song,Normal,Status,—,—,5,Any Pokémon in play when this attack is used faints in 3 turns.,"Any Pokémon that hears this song faints in three turns, unless it switches out of battle."
Petal Blizzard,Grass,Physical,90,100,15,Hits all adjacent Pokémon.,The user stirs up a violent petal blizzard and damages everything around it.
Petal Dance,Grass,Special,120,100,10,User attacks for 2-3 turns but then becomes confused.,The user attacks the target by scattering petals for two to three turns. The user then becomes confused.
Phantom Force,Ghost,Physical,90,100,10,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.","The user vanishes somewhere, then strikes the target on the next turn. This move hits even if the target protects itself."
Photon Geyser,Psychic,Special,100,100,5,"Uses Attack or Special Attack stat, whichever is higher.",The user attacks the target with a pillar of light. This move inflicts damage using the Attack or Sp. Atk stat— whichever is higher for the user.
Pika Papow,Electric,Special,—,∞,20,Power increases when player's bond is stronger.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Pin Missile,Bug,Physical,25,95,20,Hits 2-5 times in one turn.,The user attacks by shooting sharp spikes at the target. This move hits two to five times in a row.
Plasma Fists,Electric,Physical,100,100,15,Changes Normal-type moves to Electric-type moves.,The user attacks with electrically charged fists. This move changes Normal-type moves to Electric-type moves.
Play Nice,Normal,Status,—,—,20,Lowers opponent's Attack. Always hits.,"The user and the target become friends, and the target loses its will to fight. This lowers the target’s Attack stat."
Play Rough,Fairy,Physical,90,90,10,May lower opponent's Attack.,The user attacks by playing rough with the target. This may also lower the target’s Attack stat.
Pluck,Flying,Physical,60,100,20,"If the opponent is holding a berry, its effect is stolen by user.","The user attacks by pecking the target. If the target is holding a Berry, the user eats it and gains its effect."
Poison Fang,Poison,Physical,50,100,15,May badly poison opponent.,The user bites the target with toxic fangs. This may also leave the target badly poisoned.
Poison Gas,Poison,Status,—,90,40,Poisons opponent.,"A cloud of poison gas is sprayed in the faces of opposing Pokémon, poisoning those it hits."
Poison Jab,Poison,Physical,80,100,20,May poison the opponent.,"The target is stabbed with a tentacle, an arm, or the like steeped in poison. This may also poison the target."
Poison Powder,Poison,Status,—,75,35,Poisons opponent.,The user scatters a cloud of poisonous dust that poisons the target.
Poison Sting,Poison,Physical,15,100,35,May poison the opponent.,The user stabs the target with a poisonous stinger to inflict damage. This may also poison the target.
Poison Tail,Poison,Physical,50,100,25,High critical hit ratio. May poison opponent.,The user hits the target with its tail. This move has a heightened chance of landing a critical hit and may also poison the target.
Pollen Puff,Bug,Special,90,100,15,Deals damage to opponent or restores HP of teammate.,"The user attacks the enemy with a pollen puff that explodes. If the target is an ally, it gives the ally a pollen puff that restores its HP instead."
Poltergeist,Ghost,Physical,110,90,5,Fails if the target doesn’t have an item.,The user attacks by controlling the target’s item. This move fails if the target isn’t holding an item.
Population Bomb,Normal,Physical,20,90,10,Hits 1-10 times in a row.,The user’s fellows gather in droves to perform a combo attack that hits the target one to ten times in a row.
Pounce,Bug,Physical,50,100,20,Lowers opponent's Speed.,The user attacks by pouncing on the target. This also lowers the target’s Speed stat.
Pound,Normal,Physical,40,100,35,,"The target is physically pounded with a long tail, a foreleg, or the like."
Powder,Bug,Status,—,100,20,Damages Pokémon using Fire type moves.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Powder Snow,Ice,Special,40,100,25,May freeze opponent.,The user attacks with a chilling gust of powdery snow. This may also leave opposing Pokémon frozen.
Power Gem,Rock,Special,80,100,20,,The user attacks with a ray of light that sparkles as if it were made of gemstones.
Power Shift,Normal,Status,—,—,10,Switches Attack and Defense stats.,The user swaps its Attack and Defense stats.
Power Split,Psychic,Status,—,—,10,Averages Attack and Special Attack with the target.,The user employs its psychic power to average its Attack and Sp. Atk stats with those of the target.
Power Swap,Psychic,Status,—,—,10,User and opponent swap Attack and Special Attack.,The user employs its psychic power to switch changes to its Attack and Sp. Atk stats with the target.
Power Trick,Psychic,Status,—,—,10,User's own Attack and Defense switch.,The user employs its psychic power to switch its Attack stat with its Defense stat.
Power Trip,Dark,Physical,20,100,10,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.","The user boasts its strength and attacks the target. The more the user’s stats are boosted, the greater the move’s power."
Power Whip,Grass,Physical,120,85,10,,"The user violently whirls its vines, tentacles, or the like to lash the target."
Power-Up Punch,Fighting,Physical,40,100,20,Raises Attack.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Precipice Blades,Ground,Physical,120,85,10,Hits all adjacent opponents.,The user attacks opposing Pokémon by manifesting the power of the land in fearsome blades of stone.
Present,Normal,Physical,—,90,15,Either deals damage or heals.,"The user attacks by giving the target a gift with a hidden trap. The gift restores HP sometimes, however."
Prismatic Laser,Psychic,Special,160,100,10,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.,The user shoots powerful lasers using the power of a prism. The user can’t move on the next turn.
Protect,Normal,Status,—,—,10,"Protects the user, but may fail if used consecutively.",This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.
Psybeam,Psychic,Special,65,100,20,May confuse opponent.,The target is attacked with a peculiar ray. This may also confuse the target.
Psyblade,Psychic,Physical,80,100,15,Power increases on Electric Terrain.,"Psyblade deals damage, and its power is boosted by 50% on Electric Terrain."
Psych Up,Normal,Status,—,—,10,Copies the opponent's stat changes.,The user hypnotizes itself into copying any stat change made by the target.
Psychic,Psychic,Special,90,100,10,May lower opponent's Special Defense.,The target is hit with a strong telekinetic force to inflict damage. This may also lower the target’s Sp. Def stat.
Psychic Fangs,Psychic,Physical,85,100,10,The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.,"The user attacks by biting the target with its psychic capabilities. This move can also break barriers, such as Light Screen and Reflect."
Psychic Noise,Psychic,Special,75,100,10,Deals damage and prevents target from healing.,TM228
Psychic Terrain,Psychic,Status,—,—,10,Prevents priority moves from being used for 5 turns.,This protects Pokémon on the ground from priority moves and powers up Psychic-type moves for five turns.
Psycho Boost,Psychic,Special,140,90,5,Sharply lowers user's Special Attack.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Psycho Cut,Psychic,Physical,70,100,20,High critical hit ratio.,The user tears at the target with blades formed by psychic power. This move has a heightened chance of landing a critical hit.
Psycho Shift,Psychic,Status,—,100,10,Transfers user's status condition to the opponent.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Psyshield Bash,Psychic,Physical,70,90,10,Raises user's Defense and Special Defense.,"Cloaking itself in psychic energy, the user slams into the target. This also boosts the user’s Defense stat."
Psyshock,Psychic,Special,80,100,10,"Inflicts damage based on the target's Defense, not Special Defense.",The user materializes an odd psychic wave to attack the target. This move deals physical damage.
Psystrike,Psychic,Special,100,100,10,"Inflicts damage based on the target's Defense, not Special Defense.",The user materializes an odd psychic wave to attack the target. This move deals physical damage.
Psywave,Psychic,Special,—,100,15,Inflicts damage 50-150% of user's level.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Pulverizing Pancake,Normal,Physical,210,—,1,Snorlax-exclusive Normal type Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Punishment,Dark,Physical,—,100,5,Power increases when opponent's stats have been raised.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Purify,Poison,Status,—,—,20,"The user heals the target's status condition. If the move succeeds, it also restores the user's own HP.","The user cures the target’s status condition. If the move succeeds, it also restores the user’s own HP."
Pursuit,Dark,Physical,40,100,20,Double power if the opponent is switching out.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Pyro Ball,Fire,Physical,120,90,5,May burn opponent.,The user attacks by igniting a small stone and launching it as a fiery ball at the target. This may also leave the target with a burn.
Quash,Dark,Status,—,100,15,Makes the target act last this turn.,The user suppresses the target and makes its move go last.
Quick Attack,Normal,Physical,40,100,30,User attacks first.,"The user lunges at the target to inflict damage, moving at blinding speed. This move always goes first."
Quick Guard,Fighting,Status,—,—,15,Protects the user's team from high-priority moves.,The user protects itself and its allies from priority moves.
Quiver Dance,Bug,Status,—,—,20,"Raises user's Special Attack, Special Defense and Speed.","The user lightly performs a beautiful, mystic dance. This boosts the user’s Sp. Atk, Sp. Def, and Speed stats."
Rage,Normal,Physical,20,100,20,Raises user's Attack when hit.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Rage Fist,Ghost,Physical,50,100,10,"The more times the user has been hit by attacks, the greater the move's power.","The user converts its rage into energy to attack. The more times the user has been hit by attacks, the greater the move’s power."
Rage Powder,Bug,Status,—,—,20,"Forces attacks to hit user, not team-mates.",The user scatters a cloud of irritating powder to draw attention to itself. Opposing Pokémon aim only at the user.
Raging Bull,Normal,Physical,90,100,10,Type depends on the user’s form. Breaks through Reflect and Light Screen barriers.,"The user performs a tackle like a raging bull. This move’s type depends on the user’s form. It can also break barriers, such as Light Screen and Reflect."
Raging Fury,Fire,Physical,120,100,10,User attacks for 2-3 turns but then becomes confused.,The user rampages around spewing flames for two to three turns. The user then becomes confused.
Rain Dance,Water,Status,—,—,5,Makes it rain for 5 turns.,"The user summons a heavy rain that falls for five turns, powering up Water-type attacks. The rain also lowers the power of Fire-type attacks."
Rapid Spin,Normal,Physical,50,100,40,Raises user's Speed and removes entry hazards and trap move effects.,"The user performs a spin attack that can also eliminate the effects of such moves as Bind, Wrap, and Leech Seed. This also boosts the user’s Speed stat."
Razor Leaf,Grass,Physical,55,95,25,High critical hit ratio.,Sharp-edged leaves are launched to slash at opposing Pokémon. This move has a heightened chance of landing a critical hit.
Razor Shell,Water,Physical,75,95,10,May lower opponent's Defense.,The user cuts the target with sharp shells to inflict damage. This may also lower the target’s Defense stat.
Razor Wind,Normal,Special,80,100,10,"Charges on first turn, attacks on second. High critical hit ratio.","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Recover,Normal,Status,—,—,5,User recovers half its max HP.,"The user regenerates its cells, restoring its own HP by up to half its max HP."
Recycle,Normal,Status,—,—,10,User's used hold item is restored.,The user recycles a held item that has been used in battle so it can be used again.
Reflect,Psychic,Status,—,—,20,Halves damage from Physical attacks for 5 turns.,A wondrous wall of light is put up to reduce damage from physical moves for five turns.
Reflect Type,Normal,Status,—,—,15,User becomes the target's type.,The user reflects the target’s type to become the same type as the target.
Refresh,Normal,Status,—,—,20,"Cures paralysis, poison, and burns.","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Relic Song,Normal,Special,75,100,10,May put the target to sleep.,The user sings an ancient song and attacks by appealing to the hearts of the listening opposing Pokémon. This may also induce sleep.
Rest,Psychic,Status,—,—,5,"User sleeps for 2 turns, but user is fully healed.",The user goes to sleep for two turns. This fully restores the user’s HP and cures any status conditions.
Retaliate,Normal,Physical,70,100,5,Inflicts double damage if a teammate fainted on the last turn.,The user takes revenge for a fainted ally. This move’s power is boosted if an ally fainted in the previous turn.
Return,Normal,Physical,—,100,20,Power increases with higher Friendship.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Revelation Dance,Normal,Special,90,100,15,Type changes based on Oricorio's form.,The user attacks the target by dancing with all its might. This move becomes the same type as the user’s type.
Revenge,Fighting,Physical,60,100,10,Power increases if user was hit first.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Reversal,Fighting,Physical,—,100,15,"The lower the user's HP, the higher the power.",An all-out attack that becomes more powerful the less HP the user has.
Revival Blessing,Normal,Status,—,—,1,Revives a fainted party Pokémon to half HP.,"The user bestows a loving blessing, reviving a party Pokémon that has fainted and restoring half that Pokémon’s max HP."
Rising Voltage,Electric,Special,70,100,20,Power doubles on Electric Terrain.,The user attacks with electricity rising from the ground. This move’s power is doubled if the target is on Electric Terrain.
Roar,Normal,Status,—,—,20,"In battles, the opponent switches. In the wild, the Pokémon runs.","The target is scared off, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
Roar of Time,Dragon,Special,150,90,5,User must recharge next turn.,The user blasts the target with power that distorts even time. The user can’t move on the next turn.
Rock Blast,Rock,Physical,25,90,10,Hits 2-5 times in one turn.,The user attacks by hurling hard rocks at the target. This move hits two to five times in a row.
Rock Climb,Normal,Physical,90,85,20,May confuse opponent.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Rock Polish,Rock,Status,—,—,20,Sharply raises user's Speed.,The user polishes its body to reduce drag. This sharply boosts the user’s Speed stat.
Rock Slide,Rock,Physical,75,90,10,May cause flinching.,Large boulders are hurled at opposing Pokémon to inflict damage. This may also make the opposing Pokémon flinch.
Rock Smash,Fighting,Physical,40,100,15,May lower opponent's Defense.,The user attacks with a punch. This may also lower the target’s Defense stat.
Rock Throw,Rock,Physical,50,90,15,,The user picks up and throws a small rock at the target to inflict damage.
Rock Tomb,Rock,Physical,60,95,15,Lowers opponent's Speed.,The user hurls boulders at the target to inflict damage. This also lowers the target’s Speed stat by cutting off its movement.
Rock Wrecker,Rock,Physical,150,90,5,User must recharge next turn.,The user launches a huge boulder at the target to attack. The user can’t move on the next turn.
Role Play,Psychic,Status,—,—,10,User copies the opponent's Ability.,"The user mimics the target completely, copying the target’s Ability."
Rolling Kick,Fighting,Physical,60,85,15,May cause flinching.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Rollout,Rock,Physical,30,90,20,Doubles in power each turn for 5 turns.,The user continually rolls into the target over five turns. This attack becomes more powerful each time it hits.
Roost,Flying,Status,—,—,5,User recovers half of its max HP and loses the Flying type temporarily.,The user lands and rests its body. This move restores the user’s HP by up to half its max HP.
Rototiller,Ground,Status,—,—,10,Raises Attack and Special Attack of Grass-types.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Round,Normal,Special,60,100,15,Power increases if teammates use it in the same turn.,"The user attacks the target with a song. If others use this move, they will act immediately after the initial user, and the power of their Rounds will be boosted."
Ruination,Dark,Special,—,90,10,Halves the opponent's HP.,The user summons a ruinous disaster. This cuts the target’s HP in half.
Sacred Fire,Fire,Physical,100,95,5,May burn opponent.,The target is razed with a mystical fire of great intensity. This may also leave the target with a burn.
Sacred Sword,Fighting,Physical,90,100,15,Ignores opponent's stat changes.,The user attacks by slicing with a sword. The target’s stat changes don’t affect the damage inflicted by this move.
Safeguard,Normal,Status,—,—,25,The user's party is protected from status conditions.,The user creates a protective field that prevents status conditions for five turns.
Salt Cure,Rock,Physical,40,100,15,Deals damage each turn; Steel and Water types are more affected.,"The user salt cures the target, inflicting damage every turn. Steel and Water types are more strongly affected by this move."
Sand Attack,Ground,Status,—,100,15,Lowers opponent's Accuracy.,"Sand is hurled in the target’s face, lowering the target’s accuracy."
Sand Tomb,Ground,Physical,35,85,15,"Traps opponent, damaging them for 4-5 turns.",The user traps the target inside a harshly raging sandstorm that inflicts damage for four to five turns.
Sandsear Storm,Ground,Special,100,80,10,May burn target.,The user attacks by wrapping opposing Pokémon in fierce winds and searingly hot sand. This may also leave them with a burn.
Sandstorm,Rock,Status,—,—,10,Creates a sandstorm for 5 turns.,"A five-turn sandstorm is summoned to damage all Pokémon except Rock, Ground, and Steel types. The sandstorm also boosts the Sp. Def stats of Rock types."
Sappy Seed,Grass,Physical,90,100,15,Drains HP from opponent each turn.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Savage Spin-Out,Bug,None,—,—,1,Bug type Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Scald,Water,Special,80,100,15,May burn opponent.,The user attacks by shooting boiling hot water at the target. This may also leave the target with a burn.
Scale Shot,Dragon,Physical,25,90,20,Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense.,The user attacks by shooting scales two to five times in a row. This move boosts the user’s Speed stat but lowers its Defense stat.
Scary Face,Normal,Status,—,100,10,Sharply lowers opponent's Speed.,The user frightens the target with a scary face to harshly lower its Speed stat.
Scorching Sands,Ground,Special,70,100,10,May burn the target.,The user throws scorching sand at the target to attack. This may also leave the target with a burn.
Scratch,Normal,Physical,40,100,35,,"Hard, pointed, sharp claws rake the target to inflict damage."
Screech,Normal,Status,—,85,40,Sharply lowers opponent's Defense.,An earsplitting screech harshly lowers the target’s Defense stat.
Searing Shot,Fire,Special,100,100,5,May burn opponent.,The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.
Searing Sunraze Smash,Steel,Physical,200,—,1,Solgaleo-exclusive Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Secret Power,Normal,Physical,70,100,20,Effects of the attack vary with the location.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Secret Sword,Fighting,Special,85,100,10,"Inflicts damage based on the target's Defense, not Special Defense.",The user cuts with its long horn. The odd power contained in the horn deals physical damage to the target.
Seed Bomb,Grass,Physical,80,100,15,,The user attacks by slamming a barrage of hard-shelled seeds down on the target from above.
Seed Flare,Grass,Special,120,85,5,May lower opponent's Special Defense.,The user emits a shock wave from its body to attack the target. This may also harshly lower the target’s Sp. Def stat.
Seismic Toss,Fighting,Physical,—,100,20,Inflicts damage equal to user's level.,The target is thrown using the power of gravity. It inflicts damage equal to the user’s level.
Self-Destruct,Normal,Physical,200,100,5,User faints.,The user attacks everything around it by causing an explosion. The user faints upon using this move.
Shadow Ball,Ghost,Special,80,100,15,May lower opponent's Special Defense.,The user attacks by hurling a shadowy blob at the target. This may also lower the target’s Sp. Def stat.
Shadow Bone,Ghost,Physical,85,100,10,May lower opponent's Defense.,The user attacks by beating the target with a bone that contains a spirit. This may also lower the target’s Defense stat.
Shadow Claw,Ghost,Physical,70,100,15,High critical hit ratio.,The user attacks by slashing the target with a sharp claw made from shadows. This move has a heightened chance of landing a critical hit.
Shadow Force,Ghost,Physical,120,100,5,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.","The user disappears on the first turn, then attacks on the next turn. This move hits even if the target protects itself."
Shadow Punch,Ghost,Physical,60,∞,20,Ignores Accuracy and Evasiveness.,The user throws a punch from the shadows. This attack never misses.
Shadow Sneak,Ghost,Physical,40,100,30,User attacks first.,The user extends its shadow and attacks the target from behind. This move always goes first.
Sharpen,Normal,Status,—,—,30,Raises user's Attack.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Shattered Psyche,Psychic,None,—,—,1,Psychic type Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Shed Tail,Normal,Status,—,—,10,"Creates a substitute, then swaps places with a party Pokémon in waiting.",The user creates a substitute for itself using its own HP before switching places with a party Pokémon in waiting.
Sheer Cold,Ice,Special,—,30,5,"One-Hit-KO, if it hits.",The target faints instantly. This move is less likely to hit the target if used by Pokémon other than Ice types.
Shell Side Arm,Poison,Special,90,100,10,"May poison opponent. Inflicts either Special or Physical damage, whichever is better.",This move is either physical or special—whichever will inflict more damage. This may also poison the target.
Shell Smash,Normal,Status,—,—,15,"Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.","The user breaks its shell, which lowers its Defense and Sp. Def stats but sharply boosts its Attack, Sp. Atk, and Speed stats."
Shell Trap,Fire,Special,150,100,5,Deals more damage to opponent if hit by a Physical move.,"The user sets a shell trap. If the user is hit by a physical move, the trap will explode and inflict damage on opposing Pokémon."
Shelter,Steel,Status,—,—,10,Raises user's Defense.,"The user makes its skin as hard as an iron shield, sharply boosting its Defense stat."
Shift Gear,Steel,Status,—,—,10,Raises user's Attack and sharply raises Speed.,"The user rotates its gears, boosting its Attack stat and sharply boosting its Speed stat."
Shock Wave,Electric,Special,60,∞,20,Ignores Accuracy and Evasiveness.,The user strikes the target with a quick jolt of electricity. This attack never misses.
Shore Up,Ground,Status,—,—,5,The user regains up to half of its max HP. It restores more HP in a sandstorm.,The user restores its own HP by up to half its max HP. It regains more HP in a sandstorm.
Signal Beam,Bug,Special,75,100,15,May confuse opponent.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Silk Trap,Bug,Status,—,—,10,Protects the user and lowers opponent's Speed on contact.,"The user spins a silken trap, protecting itself from damage while lowering the Speed stat of any attacker that makes direct contact."
Silver Wind,Bug,Special,60,100,5,May raise all stats of user at once.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Simple Beam,Normal,Status,—,100,15,Changes target's ability to Simple.,The user emits a mysterious psychic wave that changes the target’s Ability to Simple.
Sing,Normal,Status,—,55,15,Puts opponent to sleep.,A soothing lullaby is sung in a beautiful voice that puts the target to sleep.
Sinister Arrow Raid,Ghost,Physical,180,—,1,Decidueye-exclusive Z-Move.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Sizzly Slide,Fire,Physical,90,100,15,Burns the opponent.,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Sketch,Normal,Status,—,—,1,Permanently copies the opponent's last move.,"This move enables the user to permanently learn the move last used by the target. Once used, Sketch disappears."
Skill Swap,Psychic,Status,—,—,10,The user swaps Abilities with the opponent.,The user employs its psychic power to exchange Abilities with the target.
Skitter Smack,Bug,Physical,70,90,10,Lowers opponent's Sp. Attack.,The user skitters behind the target to attack. This also lowers the target’s Sp. Atk stat.
Skull Bash,Normal,Physical,130,100,10,"Raises Defense on first turn, attacks on second.","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Sky Attack,Flying,Physical,140,90,5,"Charges on first turn, attacks on second. May cause flinching. High critical hit ratio.",The user attacks the turn after using this move. This move has a heightened chance of landing a critical hit and may also make the target flinch.
Sky Drop,Flying,Physical,60,100,10,"Takes opponent into the air on first turn, drops them on second turn.","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Sky Uppercut,Fighting,Physical,85,90,15,"Hits the opponent, even during Fly.","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Slack Off,Normal,Status,—,—,5,User recovers half its max HP.,"The user slacks off, restoring its own HP by up to half its max HP."
Slam,Normal,Physical,80,75,20,,"The target is slammed with a long tail, vines, or the like to inflict damage."
Slash,Normal,Physical,70,100,20,High critical hit ratio.,"The target is attacked with a slash of claws, scythes, or the like. This move has a heightened chance of landing a critical hit."
Sleep Powder,Grass,Status,—,75,15,Puts opponent to sleep.,The user scatters a cloud of soporific dust that puts the target to sleep.
Sleep Talk,Normal,Status,—,—,10,User performs one of its own moves while sleeping.,The user randomly uses one of the moves it knows. This move can only be used while the user is asleep.
Sludge,Poison,Special,65,100,20,May poison opponent.,The user hurls unsanitary sludge at the target to inflict damage. This may also poison the target.
Sludge Bomb,Poison,Special,90,100,10,May poison opponent.,The user hurls unsanitary sludge at the target to inflict damage. This may also poison the target.
Sludge Wave,Poison,Special,95,100,10,May poison opponent.,The user strikes everything around it by swamping the area with a giant sludge wave. This may also poison those it hits.
Smack Down,Rock,Physical,50,100,15,Makes Flying-type Pokémon vulnerable to Ground moves.,"The user throws a stone or similar projectile to attack the target. If the target is in the air, it will be knocked down to the ground."
Smart Strike,Steel,Physical,70,—,10,The user stabs the target with a sharp horn. This attack never misses.,The user stabs the target with a sharp horn. This attack never misses.
Smelling Salts,Normal,Physical,70,100,10,"Power doubles if opponent is paralyzed, but cures it.","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Smog,Poison,Special,30,70,20,May poison opponent.,The target is attacked with a discharge of filthy gases. This may also poison the target.
